"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments","Site_ID","quality_score","quality_rank"
"Ežerynas 16","NA","Brommean","Brom_LT",3,23.97,54.2,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","Šatavičius 2004,2016","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lithuania","LT","The site was located at first with surface finds and only later excavated, however it did not revealed wider Brommian assemblages.","Ezerynas9u16u17",0,3
"Ežerynas 17","NA","Brommean","Brom_LT",3,23.97,54.2,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","Šatavičius 2004,2016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lithuania","LT","The site was located at first with surface finds and only later excavated, however it did not revealed wider Brommian assemblages.","Ezerynas9u16u17",0,3
"Šilelis 2","NA","Ahrensburgian","Ahr_LT",3,23.75,54.93,"13,000-12,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2005a","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lithuania","LT","The small assemblages of lithics with fragments of tanged points, scrapers, core and burins were ascribed to the Ahresnburgian group by the author.","Silelis2",0,3
"Aukštumala","NA","Swiderian","Swid_LT",4,21.41,55.38,"12,000-11,000","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Grigaliūnas 2013,Rimkus 2019","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Lithuania","LT","Some of materials from site might be relocated due to intensive human activity in the area. The site contain Swiderian assemblgaes in the lower C layer, however part of it might be mixed with Early Mesolithic finds in the middle layer B.","Aukstumala",5,1
"Kabeliai 2","lower C layer","Swiderian","Swid_LT",4,24.3,53.98,"12,000-11,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Ostrauskas 2002","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Lithuania","LT","The site contain Swiderian assemblage in the lower C layer, however part of it might be mixed with Early Mesolithic finds in the middle layer B.","Kabeliai2",5,1
"Pasieniai 1","C layer","Swiderian","Swid_LT",4,25.14,54.68,"12,000-11,000","Typology","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Šatavičius 1998,2005b","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Lithuania","LT","The site has admixture from later Stone Age periods","Pasieniai1",3,2
"Titnas 1A","NA","Swiderian","Swid_LT",4,24.65,54.07,"12,000-11,000","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Šatavičius 2005b,2012a","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Lithuania","LT","The site is considered as flint extraction and core preparation site. Only opposite two platform cores were found in separate clusters, some of them containing hammer stones. Only one possible fragment of tang was found and no other finds.","NA",4,2
"Mergežeris 3","NA","Swiderian","Swid_LT",4,24.49,54.19,"12,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Šatavičius 2005b","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Lithuania","LT","Only tanged points were ascribed to the Swiderian assemblage from the surface finds.","Mergezeris3",0,3
"Sudota 2","NA","Swiderian","Swid_LT",4,25.97,55.12,"12,000-11,000","Typology","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Šatavičius 2005b,2012b","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Lithuania","LT","The site is mixed with Mesolithic, Neolithic and Iron Age finds.","Sudota2",3,2
"Riparo Tagliente","from (11?) 10 to 7 (4?)","Late Epigravettian (Phase 2)","LEpigrav_NEI",12,11.00564,45.54057,"15,500-13,500","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Bartolomei et al. 1984,Fontana et al. 2015,Montoya 2004","x","x","NA","NA","x","x","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","RiparoTaglientelayer10",4,2
